CO(GT),PT08.S1(CO),NO2(GT),PT08.S4(NO2),T,RH,AH,day,year,quarter,weekday,label
3.6,1397.0,165.0,2017.0,31.5,27.8,1.2671,7.0,2004.0,3.0,2.0,3
2.4,1286.0,132.0,1880.0,31.1,29.3,1.3055,7.0,2004.0,3.0,2.0,3
2.1,1222.0,122.0,1827.0,30.2,30.9,1.3026,7.0,2004.0,3.0,2.0,3
1.2,1069.0,88.0,1627.0,29.8,30.2,1.2502,8.0,2004.0,3.0,3.0,2
0.9,1011.0,79.0,1532.0,28.4,32.5,1.2361,8.0,2004.0,3.0,3.0,2
0.6,962.0,60.0,1507.0,27.5,34.0,1.231,8.0,2004.0,3.0,3.0,2
0.5,919.0,109.0,1443.0,26.8,35.3,1.2243,8.0,2004.0,3.0,3.0,2
1.8,969.0,60.0,1485.0,24.5,40.4,1.2251,8.0,2004.0,3.0,3.0,2
0.6,986.0,74.0,1503.0,25.6,38.8,1.2545,8.0,2004.0,3.0,3.0,2
0.6,990.0,62.0,1511.0,27.5,34.6,1.2518,8.0,2004.0,3.0,3.0,2
2.2,1296.0,115.0,1914.0,25.9,37.4,1.2289,8.0,2004.0,3.0,3.0,3
3.2,1371.0,119.0,2082.0,28.5,32.5,1.2441,8.0,2004.0,3.0,3.0,3
3.0,1385.0,155.0,1919.0,29.5,32.7,1.3229,8.0,2004.0,3.0,3.0,3
2.7,1381.0,162.0,1903.0,29.8,33.1,1.3693,8.0,2004.0,3.0,3.0,3
3.2,1396.0,189.0,1934.0,33.4,26.8,1.3586,8.0,2004.0,3.0,3.0,3
1.4,1070.0,115.0,1538.0,40.3,15.8,1.1604,8.0,2004.0,3.0,3.0,3
1.3,1076.0,109.0,1525.0,41.8,15.0,1.1989,8.0,2004.0,3.0,3.0,2
1.4,1126.0,108.0,1609.0,41.1,15.7,1.2071,8.0,2004.0,3.0,3.0,3
2.1,1225.0,145.0,1775.0,41.9,14.8,1.1944,8.0,2004.0,3.0,3.0,3
2.4,1202.0,167.0,1807.0,40.9,14.6,1.114,8.0,2004.0,3.0,3.0,3
3.1,1308.0,200.0,1891.0,39.1,16.9,1.1705,8.0,2004.0,3.0,3.0,3
3.5,1440.0,178.0,2021.0,36.4,27.3,1.6308,8.0,2004.0,3.0,3.0,3
5.1,1611.0,206.0,2371.0,34.9,29.3,1.611,8.0,2004.0,3.0,3.0,3
4.5,1387.0,192.0,2113.0,33.6,26.4,1.3515,8.0,2004.0,3.0,3.0,3
2.9,1268.0,137.0,1900.0,32.2,27.6,1.3044,8.0,2004.0,3.0,3.0,3
2.6,1237.0,128.0,1834.0,30.5,29.7,1.2742,8.0,2004.0,3.0,3.0,3
2.7,1302.0,121.0,1934.0,29.4,35.6,1.4383,8.0,2004.0,3.0,3.0,3
3.2,1347.0,136.0,1996.0,29.1,34.8,1.38,9.0,2004.0,3.0,4.0,3
2.3,1355.0,109.0,1905.0,27.7,41.9,1.537,9.0,2004.0,3.0,4.0,3
1.0,1023.0,74.0,1585.0,27.9,41.6,1.5425,9.0,2004.0,3.0,4.0,2
0.5,903.0,109.0,1458.0,27.8,43.7,1.6039,9.0,2004.0,3.0,4.0,2
0.4,876.0,40.0,1432.0,27.4,42.2,1.5177,9.0,2004.0,3.0,4.0,2
0.6,932.0,61.0,1509.0,26.6,42.8,1.4713,9.0,2004.0,3.0,4.0,2
1.0,1020.0,83.0,1636.0,26.9,40.3,1.4041,9.0,2004.0,3.0,4.0,2
2.9,1264.0,129.0,1989.0,27.0,37.3,1.3081,9.0,2004.0,3.0,4.0,3
2.7,1179.0,109.0,1877.0,27.0,35.3,1.2396,9.0,2004.0,3.0,4.0,3
1.8,1079.0,115.0,1640.0,27.4,32.0,1.1545,9.0,2004.0,3.0,4.0,3
1.8,1036.0,130.0,1527.0,30.5,24.7,1.0592,9.0,2004.0,3.0,4.0,2
1.7,1002.0,137.0,1546.0,32.9,20.1,0.9902,9.0,2004.0,3.0,4.0,2
1.5,995.0,116.0,1544.0,33.9,18.4,0.9587,9.0,2004.0,3.0,4.0,2
1.7,1008.0,129.0,1545.0,34.4,19.3,1.0325,9.0,2004.0,3.0,4.0,2
1.3,978.0,117.0,1527.0,34.2,19.6,1.0399,9.0,2004.0,3.0,4.0,2
1.5,989.0,138.0,1577.0,33.2,20.4,1.0195,9.0,2004.0,3.0,4.0,2
1.5,961.0,139.0,1554.0,32.4,19.1,0.915,9.0,2004.0,3.0,4.0,2
2.3,1009.0,180.0,1602.0,32.2,17.1,0.8124,9.0,2004.0,3.0,4.0,3
2.2,970.0,162.0,1579.0,31.0,17.1,0.7526,9.0,2004.0,3.0,4.0,3
2.8,1097.0,158.0,1738.0,28.3,24.9,0.9412,9.0,2004.0,3.0,4.0,3
2.7,1065.0,162.0,1672.0,26.6,30.2,1.033,9.0,2004.0,3.0,4.0,3
1.7,1036.0,112.0,1614.0,24.8,36.8,1.1357,9.0,2004.0,3.0,4.0,2
1.5,1049.0,104.0,1648.0,23.7,43.4,1.2495,9.0,2004.0,3.0,4.0,2
2.3,1147.0,125.0,1719.0,23.0,46.2,1.2815,9.0,2004.0,3.0,4.0,3
2.3,1118.0,127.0,1792.0,22.7,47.7,1.2977,10.0,2004.0,3.0,5.0,3
1.5,1016.0,95.0,1661.0,22.2,49.5,1.3081,10.0,2004.0,3.0,5.0,2
1.0,940.0,70.0,1539.0,21.6,51.9,1.3254,10.0,2004.0,3.0,5.0,2
0.5,836.0,109.0,1405.0,22.3,50.4,1.3379,10.0,2004.0,3.0,5.0,2
0.3,831.0,33.0,1406.0,22.4,49.7,1.3333,10.0,2004.0,3.0,5.0,2
0.4,877.0,45.0,1475.0,21.7,52.0,1.3313,10.0,2004.0,3.0,5.0,2
0.5,872.0,56.0,1471.0,21.1,53.2,1.3181,10.0,2004.0,3.0,5.0,2
0.9,958.0,74.0,1551.0,22.0,51.0,1.3296,10.0,2004.0,3.0,5.0,2
1.1,959.0,84.0,1572.0,25.0,41.6,1.301,10.0,2004.0,3.0,5.0,2
1.4,997.0,93.0,1612.0,26.7,36.4,1.2596,10.0,2004.0,3.0,5.0,2
1.1,916.0,97.0,1511.0,29.1,29.7,1.1751,10.0,2004.0,3.0,5.0,2
0.9,895.0,83.0,1473.0,31.2,23.4,1.0487,10.0,2004.0,3.0,5.0,2
0.8,855.0,71.0,1416.0,32.4,20.5,0.9806,10.0,2004.0,3.0,5.0,2
0.8,861.0,78.0,1409.0,33.3,19.2,0.9634,10.0,2004.0,3.0,5.0,2
0.6,821.0,62.0,1323.0,33.1,16.8,0.8391,10.0,2004.0,3.0,5.0,2
0.6,835.0,54.0,1323.0,33.1,18.3,0.9081,10.0,2004.0,3.0,5.0,2
0.5,813.0,59.0,1303.0,32.4,18.0,0.8599,10.0,2004.0,3.0,5.0,2
0.7,833.0,69.0,1328.0,31.8,18.7,0.8624,10.0,2004.0,3.0,5.0,2
0.8,859.0,67.0,1363.0,30.3,21.4,0.9064,10.0,2004.0,3.0,5.0,2
0.9,887.0,58.0,1387.0,27.2,28.2,1.0013,10.0,2004.0,3.0,5.0,2
1.3,970.0,77.0,1559.0,26.1,33.7,1.1228,10.0,2004.0,3.0,5.0,2
1.3,990.0,94.0,1551.0,24.7,38.8,1.1929,10.0,2004.0,3.0,5.0,2
1.4,1022.0,97.0,1588.0,23.4,43.2,1.229,10.0,2004.0,3.0,5.0,2
1.9,1075.0,110.0,1682.0,23.1,44.2,1.2317,10.0,2004.0,3.0,5.0,2
2.3,1088.0,116.0,1713.0,22.7,45.3,1.2299,11.0,2004.0,3.0,6.0,3
1.0,925.0,74.0,1513.0,21.6,47.5,1.2118,11.0,2004.0,3.0,6.0,2
0.5,853.0,51.0,1423.0,22.0,45.8,1.1965,11.0,2004.0,3.0,6.0,2
1.0,918.0,109.0,1548.0,20.4,51.3,1.2131,11.0,2004.0,3.0,6.0,2
0.4,796.0,40.0,1387.0,20.6,50.3,1.2041,11.0,2004.0,3.0,6.0,2
0.3,796.0,36.0,1385.0,20.6,50.6,1.2119,11.0,2004.0,3.0,6.0,2
0.2,795.0,35.0,1369.0,21.3,48.8,1.2189,11.0,2004.0,3.0,6.0,2
0.4,842.0,48.0,1427.0,20.4,52.6,1.247,11.0,2004.0,3.0,6.0,2
0.3,850.0,38.0,1402.0,23.5,44.0,1.2596,11.0,2004.0,3.0,6.0,2
0.6,884.0,54.0,1442.0,25.7,37.9,1.2334,11.0,2004.0,3.0,6.0,2
0.6,907.0,57.0,1486.0,27.9,33.6,1.2433,11.0,2004.0,3.0,6.0,2
0.6,846.0,54.0,1380.0,29.0,28.3,1.1116,11.0,2004.0,3.0,6.0,2
0.5,827.0,46.0,1371.0,29.5,25.9,1.0489,11.0,2004.0,3.0,6.0,2
0.4,804.0,36.0,1321.0,31.8,22.3,1.0366,11.0,2004.0,3.0,6.0,2
0.2,775.0,19.0,1272.0,32.2,20.0,0.9488,11.0,2004.0,3.0,6.0,2
0.4,802.0,34.0,1282.0,32.4,19.3,0.922,11.0,2004.0,3.0,6.0,2
0.6,844.0,63.0,1327.0,33.0,17.7,0.8758,11.0,2004.0,3.0,6.0,2
0.9,881.0,86.0,1359.0,32.0,19.8,0.9273,11.0,2004.0,3.0,6.0,2
0.7,877.0,65.0,1347.0,29.6,24.1,0.9831,11.0,2004.0,3.0,6.0,2
1.2,931.0,101.0,1467.0,26.9,27.1,0.948,11.0,2004.0,3.0,6.0,2
1.6,1011.0,116.0,1565.0,25.3,30.9,0.9815,11.0,2004.0,3.0,6.0,2
1.8,1035.0,124.0,1651.0,24.2,35.9,1.0684,11.0,2004.0,3.0,6.0,2
2.4,1153.0,136.0,1700.0,23.2,43.2,1.2104,11.0,2004.0,3.0,6.0,3
1.5,1020.0,108.0,1615.0,22.7,43.9,1.1962,11.0,2004.0,3.0,6.0,2
0.9,954.0,82.0,1550.0,21.6,44.0,1.1244,12.0,2004.0,3.0,0.0,1
0.8,903.0,68.0,1478.0,20.7,46.4,1.1198,12.0,2004.0,3.0,0.0,1
0.2,779.0,22.0,1323.0,21.2,46.2,1.1482,12.0,2004.0,3.0,0.0,1
0.1,761.0,109.0,1303.0,22.7,42.3,1.1491,12.0,2004.0,3.0,0.0,1
1.8,780.0,34.0,1331.0,19.9,51.3,1.1803,12.0,2004.0,3.0,0.0,1
0.5,835.0,43.0,1423.0,20.0,51.8,1.1967,12.0,2004.0,3.0,0.0,1
1.4,1004.0,84.0,1671.0,18.5,57.4,1.2076,12.0,2004.0,3.0,0.0,1
3.3,1272.0,108.0,2085.0,19.6,54.3,1.2278,12.0,2004.0,3.0,0.0,1
3.6,1173.0,112.0,1945.0,21.3,49.7,1.2452,12.0,2004.0,3.0,0.0,1
1.7,986.0,104.0,1586.0,21.7,46.3,1.1867,12.0,2004.0,3.0,0.0,1
1.5,942.0,107.0,1496.0,23.4,39.4,1.1172,12.0,2004.0,3.0,0.0,1
1.6,957.0,102.0,1525.0,25.7,33.0,1.0763,12.0,2004.0,3.0,0.0,1
2.1,1024.0,104.0,1690.0,28.5,27.3,1.0479,12.0,2004.0,3.0,0.0,1
2.1,962.0,96.0,1592.0,27.0,27.9,0.9812,12.0,2004.0,3.0,0.0,1
1.6,958.0,80.0,1550.0,24.2,36.9,1.0966,12.0,2004.0,3.0,0.0,1
1.3,933.0,72.0,1514.0,26.0,34.9,1.1509,12.0,2004.0,3.0,0.0,1
1.6,942.0,106.0,1551.0,24.8,33.1,1.0222,12.0,2004.0,3.0,0.0,1
3.1,1073.0,119.0,1762.0,24.0,36.3,1.0708,12.0,2004.0,3.0,0.0,1
3.3,1086.0,119.0,1782.0,23.6,35.5,1.0187,12.0,2004.0,3.0,0.0,1
3.4,1091.0,128.0,1797.0,23.6,35.7,1.0282,12.0,2004.0,3.0,0.0,1
2.8,980.0,112.0,1625.0,23.3,34.5,0.9768,12.0,2004.0,3.0,0.0,1
1.5,904.0,95.0,1488.0,22.5,36.8,0.988,12.0,2004.0,3.0,0.0,1
1.3,865.0,85.0,1414.0,21.3,38.7,0.9686,12.0,2004.0,3.0,0.0,1
1.6,898.0,101.0,1493.0,20.9,39.4,0.9596,12.0,2004.0,3.0,0.0,1
1.5,945.0,94.0,1563.0,19.8,47.7,1.093,13.0,2004.0,3.0,1.0,1
1.0,854.0,76.0,1476.0,19.3,51.4,1.1387,13.0,2004.0,3.0,1.0,1
0.5,751.0,50.0,1353.0,18.4,53.4,1.117,13.0,2004.0,3.0,1.0,1
0.4,723.0,109.0,1315.0,18.8,51.1,1.1,13.0,2004.0,3.0,1.0,1
0.6,754.0,51.0,1372.0,16.3,59.8,1.1042,13.0,2004.0,3.0,1.0,1
0.7,758.0,42.0,1365.0,16.6,56.8,1.0629,13.0,2004.0,3.0,1.0,1
1.3,873.0,62.0,1528.0,16.2,57.4,1.0515,13.0,2004.0,3.0,1.0,1
4.0,1176.0,111.0,2120.0,17.3,54.3,1.0631,13.0,2004.0,3.0,1.0,3
5.0,1257.0,129.0,2245.0,19.2,48.8,1.0751,13.0,2004.0,3.0,1.0,3
3.6,1137.0,135.0,1821.0,21.7,42.4,1.0859,13.0,2004.0,3.0,1.0,3
2.8,1064.0,139.0,1656.0,26.4,29.9,1.0138,13.0,2004.0,3.0,1.0,3
2.6,1026.0,134.0,1629.0,31.3,19.1,0.8634,13.0,2004.0,3.0,1.0,3
2.7,986.0,141.0,1619.0,33.7,15.4,0.7913,13.0,2004.0,3.0,1.0,1
2.3,908.0,112.0,1469.0,34.5,13.3,0.7158,13.0,2004.0,3.0,1.0,1
2.0,888.0,105.0,1448.0,33.8,13.9,0.7172,13.0,2004.0,3.0,1.0,1
1.3,843.0,72.0,1339.0,30.1,19.4,0.8157,13.0,2004.0,3.0,1.0,1
1.7,905.0,90.0,1460.0,28.3,21.3,0.8054,13.0,2004.0,3.0,1.0,1
2.8,1023.0,126.0,1635.0,31.9,18.3,0.8523,13.0,2004.0,3.0,1.0,3
3.8,1125.0,154.0,1840.0,32.0,20.1,0.9364,13.0,2004.0,3.0,1.0,3
4.9,1211.0,173.0,2092.0,28.9,24.1,0.9495,13.0,2004.0,3.0,1.0,3
4.3,1140.0,162.0,1884.0,27.3,27.1,0.967,13.0,2004.0,3.0,1.0,3
2.6,1029.0,128.0,1666.0,26.0,28.5,0.9484,13.0,2004.0,3.0,1.0,1
2.4,981.0,120.0,1592.0,25.2,28.6,0.9008,13.0,2004.0,3.0,1.0,1
1.9,971.0,111.0,1585.0,24.3,31.1,0.9316,13.0,2004.0,3.0,1.0,1
1.4,927.0,89.0,1522.0,23.6,33.8,0.9685,14.0,2004.0,3.0,2.0,2
1.1,868.0,69.0,1448.0,23.0,33.8,0.9406,14.0,2004.0,3.0,2.0,2
0.9,863.0,70.0,1469.0,22.2,38.4,1.0126,14.0,2004.0,3.0,2.0,2
0.7,820.0,109.0,1380.0,20.4,42.6,1.0083,14.0,2004.0,3.0,2.0,2
0.5,777.0,59.0,1334.0,20.5,42.3,1.0091,14.0,2004.0,3.0,2.0,2
0.8,855.0,73.0,1444.0,18.8,49.0,1.0505,14.0,2004.0,3.0,2.0,2
1.3,960.0,89.0,1616.0,18.8,49.4,1.0624,14.0,2004.0,3.0,2.0,2
4.7,1310.0,142.0,2194.0,19.9,46.5,1.071,14.0,2004.0,3.0,2.0,3
4.6,1339.0,145.0,2357.0,22.1,41.7,1.098,14.0,2004.0,3.0,2.0,3
3.7,1211.0,156.0,1913.0,24.0,36.4,1.0706,14.0,2004.0,3.0,2.0,3
2.8,1068.0,148.0,1717.0,30.2,22.8,0.9616,14.0,2004.0,3.0,2.0,3
1.8,932.0,122.0,1523.0,33.4,17.1,0.8627,14.0,2004.0,3.0,2.0,2
1.9,949.0,106.0,1547.0,35.1,15.0,0.8381,14.0,2004.0,3.0,2.0,2
2.0,944.0,106.0,1525.0,34.1,16.0,0.8408,14.0,2004.0,3.0,2.0,2
2.0,966.0,127.0,1612.0,35.7,13.6,0.7836,14.0,2004.0,3.0,2.0,3
2.1,940.0,113.0,1539.0,35.3,13.8,0.7767,14.0,2004.0,3.0,2.0,2
2.1,934.0,136.0,1496.0,32.3,16.7,0.7946,14.0,2004.0,3.0,2.0,3
3.2,1052.0,153.0,1729.0,36.0,13.3,0.7773,14.0,2004.0,3.0,2.0,3
4.0,1109.0,172.0,1795.0,35.8,13.7,0.7868,14.0,2004.0,3.0,2.0,3
4.6,1169.0,190.0,1901.0,32.3,18.4,0.8753,14.0,2004.0,3.0,2.0,3
3.0,1093.0,160.0,1705.0,29.7,25.0,1.0246,14.0,2004.0,3.0,2.0,3
2.9,1084.0,159.0,1753.0,27.8,26.6,0.9748,14.0,2004.0,3.0,2.0,3
1.9,970.0,123.0,1552.0,26.3,27.3,0.9238,14.0,2004.0,3.0,2.0,2
1.4,951.0,101.0,1488.0,25.3,30.0,0.9508,14.0,2004.0,3.0,2.0,2
2.1,1038.0,116.0,1631.0,24.0,34.9,1.0271,15.0,2004.0,3.0,3.0,3
1.2,950.0,80.0,1566.0,23.4,38.6,1.0968,15.0,2004.0,3.0,3.0,2
0.6,831.0,51.0,1355.0,23.5,38.3,1.0972,15.0,2004.0,3.0,3.0,2
0.4,813.0,109.0,1332.0,22.0,42.6,1.1146,15.0,2004.0,3.0,3.0,2
1.8,797.0,37.0,1303.0,21.6,44.0,1.1225,15.0,2004.0,3.0,3.0,2
0.4,824.0,46.0,1342.0,21.4,45.6,1.1493,15.0,2004.0,3.0,3.0,2
0.7,879.0,64.0,1454.0,21.1,47.1,1.1641,15.0,2004.0,3.0,3.0,2
2.3,1132.0,108.0,1827.0,21.3,48.4,1.2119,15.0,2004.0,3.0,3.0,3
4.0,1291.0,151.0,2239.0,22.9,47.9,1.3208,15.0,2004.0,3.0,3.0,3
2.8,1193.0,153.0,1927.0,24.4,45.5,1.3721,15.0,2004.0,3.0,3.0,3
1.6,1057.0,116.0,1665.0,27.6,38.0,1.3818,15.0,2004.0,3.0,3.0,2
1.6,1027.0,116.0,1563.0,31.1,29.6,1.318,15.0,2004.0,3.0,3.0,2
2.0,1084.0,130.0,1677.0,33.4,24.7,1.2516,15.0,2004.0,3.0,3.0,3
2.0,1032.0,131.0,1619.0,35.7,18.9,1.0865,15.0,2004.0,3.0,3.0,3
1.7,977.0,131.0,1554.0,36.2,18.1,1.0724,15.0,2004.0,3.0,3.0,2
2.0,1039.0,135.0,1646.0,37.1,17.7,1.094,15.0,2004.0,3.0,3.0,3
2.2,1056.0,152.0,1694.0,36.5,18.1,1.0887,15.0,2004.0,3.0,3.0,3
3.2,1164.0,198.0,1886.0,35.5,19.1,1.0888,15.0,2004.0,3.0,3.0,3
3.6,1124.0,183.0,1845.0,33.7,20.0,1.0275,15.0,2004.0,3.0,3.0,3
3.8,1152.0,175.0,1879.0,30.5,22.7,0.9763,15.0,2004.0,3.0,3.0,3
4.8,1223.0,193.0,1940.0,28.7,26.2,1.0144,15.0,2004.0,3.0,3.0,3
2.8,1058.0,140.0,1699.0,26.7,28.9,0.9981,15.0,2004.0,3.0,3.0,3
2.6,1049.0,128.0,1730.0,25.7,31.6,1.0285,15.0,2004.0,3.0,3.0,3
1.9,1010.0,100.0,1589.0,24.5,35.7,1.0807,15.0,2004.0,3.0,3.0,2
1.7,981.0,97.0,1572.0,24.3,36.3,1.0852,16.0,2004.0,3.0,4.0,2
1.0,886.0,67.0,1440.0,23.8,36.9,1.0748,16.0,2004.0,3.0,4.0,2
0.7,821.0,58.0,1360.0,23.7,37.3,1.076,16.0,2004.0,3.0,4.0,2
0.5,784.0,109.0,1319.0,22.2,40.6,1.0729,16.0,2004.0,3.0,4.0,2
0.4,771.0,45.0,1291.0,21.6,42.2,1.0762,16.0,2004.0,3.0,4.0,2
0.6,819.0,62.0,1379.0,20.3,46.8,1.1,16.0,2004.0,3.0,4.0,2
0.7,836.0,59.0,1384.0,20.7,45.9,1.1088,16.0,2004.0,3.0,4.0,2
2.4,1114.0,102.0,1819.0,20.5,47.7,1.1419,16.0,2004.0,3.0,4.0,3
4.4,1319.0,154.0,2276.0,22.4,46.6,1.247,16.0,2004.0,3.0,4.0,3
3.1,1211.0,157.0,1860.0,24.2,48.5,1.4452,16.0,2004.0,3.0,4.0,3
2.0,1051.0,138.0,1593.0,28.8,33.0,1.2825,16.0,2004.0,3.0,4.0,3
2.1,1108.0,142.0,1701.0,32.8,25.2,1.2325,16.0,2004.0,3.0,4.0,3
2.1,1014.0,125.0,1548.0,34.4,19.9,1.0647,16.0,2004.0,3.0,4.0,3
2.1,1003.0,120.0,1578.0,36.5,16.7,1.0045,16.0,2004.0,3.0,4.0,3
2.2,1021.0,150.0,1606.0,37.5,14.3,0.9099,16.0,2004.0,3.0,4.0,3
1.6,986.0,120.0,1473.0,38.0,15.5,1.0119,16.0,2004.0,3.0,4.0,2
2.4,1098.0,173.0,1648.0,38.1,16.5,1.0828,16.0,2004.0,3.0,4.0,3
3.3,1157.0,187.0,1782.0,37.3,17.3,1.084,16.0,2004.0,3.0,4.0,3
4.0,1190.0,206.0,1914.0,35.9,17.7,1.0316,16.0,2004.0,3.0,4.0,3
4.1,1183.0,187.0,1881.0,32.4,21.5,1.0303,16.0,2004.0,3.0,4.0,3
4.2,1231.0,170.0,1937.0,30.3,25.6,1.0879,16.0,2004.0,3.0,4.0,3
2.9,1102.0,149.0,1762.0,28.5,27.8,1.0665,16.0,2004.0,3.0,4.0,3
2.3,1041.0,124.0,1629.0,26.9,30.5,1.0671,16.0,2004.0,3.0,4.0,3
2.2,1090.0,119.0,1686.0,25.7,33.5,1.0918,16.0,2004.0,3.0,4.0,3
2.1,1074.0,108.0,1673.0,24.7,36.9,1.1302,17.0,2004.0,3.0,5.0,2
1.6,977.0,93.0,1581.0,23.6,39.2,1.1306,17.0,2004.0,3.0,5.0,2
1.2,949.0,77.0,1552.0,22.2,43.0,1.1363,17.0,2004.0,3.0,5.0,2
1.2,912.0,109.0,1489.0,21.2,45.8,1.1353,17.0,2004.0,3.0,5.0,2
0.9,863.0,76.0,1415.0,21.3,45.9,1.1471,17.0,2004.0,3.0,5.0,2
0.6,834.0,58.0,1367.0,21.6,45.0,1.151,17.0,2004.0,3.0,5.0,2
0.7,865.0,63.0,1430.0,21.3,46.5,1.1608,17.0,2004.0,3.0,5.0,2
1.3,974.0,75.0,1546.0,21.1,46.9,1.1585,17.0,2004.0,3.0,5.0,2
2.0,1079.0,111.0,1628.0,22.8,43.0,1.1731,17.0,2004.0,3.0,5.0,2
1.9,1084.0,116.0,1633.0,25.0,38.3,1.198,17.0,2004.0,3.0,5.0,2
2.2,1107.0,138.0,1675.0,30.9,26.9,1.1835,17.0,2004.0,3.0,5.0,3
1.9,1040.0,117.0,1543.0,35.1,19.2,1.0664,17.0,2004.0,3.0,5.0,2
1.5,1019.0,94.0,1428.0,36.9,17.2,1.0576,17.0,2004.0,3.0,5.0,2
1.4,1003.0,91.0,1427.0,39.3,13.9,0.9715,17.0,2004.0,3.0,5.0,2
1.0,925.0,60.0,1308.0,40.3,12.6,0.9302,17.0,2004.0,3.0,5.0,2
1.0,910.0,66.0,1282.0,39.7,13.5,0.965,17.0,2004.0,3.0,5.0,2
1.4,1012.0,87.0,1435.0,41.1,13.1,1.0124,17.0,2004.0,3.0,5.0,2
1.6,1100.0,106.0,1512.0,40.1,14.9,1.0828,17.0,2004.0,3.0,5.0,2
1.6,1046.0,94.0,1464.0,37.4,17.0,1.0757,17.0,2004.0,3.0,5.0,2
2.1,1083.0,112.0,1524.0,34.0,19.2,1.0073,17.0,2004.0,3.0,5.0,3
2.0,1050.0,120.0,1496.0,31.7,21.6,0.9959,17.0,2004.0,3.0,5.0,2
1.9,1050.0,106.0,1475.0,29.7,24.2,0.9926,17.0,2004.0,3.0,5.0,2
2.3,1142.0,112.0,1611.0,27.9,27.6,1.0252,17.0,2004.0,3.0,5.0,3
2.4,1165.0,120.0,1644.0,26.8,29.9,1.0402,17.0,2004.0,3.0,5.0,3
2.2,1136.0,114.0,1591.0,25.8,33.0,1.0826,18.0,2004.0,3.0,6.0,3
1.2,986.0,70.0,1422.0,26.3,33.1,1.1199,18.0,2004.0,3.0,6.0,2
1.1,971.0,64.0,1447.0,24.3,38.1,1.1398,18.0,2004.0,3.0,6.0,2
0.8,908.0,109.0,1381.0,24.7,36.4,1.1158,18.0,2004.0,3.0,6.0,2
1.8,882.0,55.0,1338.0,23.3,39.5,1.1176,18.0,2004.0,3.0,6.0,2
0.6,900.0,50.0,1355.0,21.1,45.6,1.1246,18.0,2004.0,3.0,6.0,2
0.7,935.0,62.0,1415.0,20.2,48.5,1.1319,18.0,2004.0,3.0,6.0,2
0.4,939.0,53.0,1395.0,21.3,45.5,1.1405,18.0,2004.0,3.0,6.0,2
0.6,982.0,85.0,1417.0,22.6,31.0,0.8372,18.0,2004.0,3.0,6.0,2
0.9,1088.0,102.0,1519.0,25.7,34.8,1.1292,18.0,2004.0,3.0,6.0,2
0.9,1065.0,97.0,1481.0,31.6,23.8,1.0842,18.0,2004.0,3.0,6.0,2
0.8,1016.0,91.0,1407.0,36.3,16.3,0.9727,18.0,2004.0,3.0,6.0,2
0.4,930.0,62.0,1263.0,37.9,15.0,0.9728,18.0,2004.0,3.0,6.0,2
0.3,928.0,57.0,1252.0,39.4,13.7,0.9639,18.0,2004.0,3.0,6.0,2
0.1,889.0,40.0,1234.0,40.2,12.3,0.8983,18.0,2004.0,3.0,6.0,2
0.5,966.0,60.0,1383.0,41.3,11.9,0.9252,18.0,2004.0,3.0,6.0,2
0.4,973.0,70.0,1356.0,41.4,11.8,0.9282,18.0,2004.0,3.0,6.0,2
0.3,950.0,53.0,1325.0,40.1,13.6,0.9953,18.0,2004.0,3.0,6.0,2
0.4,982.0,54.0,1374.0,37.6,16.4,1.0458,18.0,2004.0,3.0,6.0,2
0.6,990.0,58.0,1399.0,33.9,20.3,1.0522,18.0,2004.0,3.0,6.0,2
0.8,1017.0,73.0,1464.0,31.6,22.9,1.0469,18.0,2004.0,3.0,6.0,2
1.2,1067.0,99.0,1520.0,29.7,24.8,1.016,18.0,2004.0,3.0,6.0,2
1.6,1147.0,102.0,1635.0,29.0,27.0,1.063,18.0,2004.0,3.0,6.0,2
1.2,1132.0,101.0,1628.0,27.9,30.4,1.1249,18.0,2004.0,3.0,6.0,2
0.5,976.0,77.0,1448.0,28.0,30.6,1.1396,19.0,2004.0,3.0,0.0,1
0.3,920.0,55.0,1393.0,26.8,32.3,1.1235,19.0,2004.0,3.0,0.0,1
0.1,879.0,51.0,1343.0,26.6,33.0,1.1338,19.0,2004.0,3.0,0.0,1
1.8,854.0,109.0,1317.0,23.7,38.6,1.1159,19.0,2004.0,3.0,0.0,1
0.1,880.0,50.0,1374.0,22.2,42.8,1.1317,19.0,2004.0,3.0,0.0,1
0.3,925.0,75.0,1455.0,21.2,46.3,1.1501,19.0,2004.0,3.0,0.0,1
0.8,1044.0,89.0,1604.0,21.4,46.5,1.172,19.0,2004.0,3.0,0.0,1
2.3,1279.0,112.0,1906.0,22.9,43.0,1.1826,19.0,2004.0,3.0,0.0,1
3.4,1403.0,142.0,2234.0,25.2,38.6,1.2215,19.0,2004.0,3.0,0.0,3
2.5,1282.0,145.0,1924.0,27.1,34.9,1.231,19.0,2004.0,3.0,0.0,1
2.4,1262.0,165.0,1842.0,32.4,24.8,1.1886,19.0,2004.0,3.0,0.0,1
2.1,1195.0,159.0,1732.0,36.8,18.0,1.0945,19.0,2004.0,3.0,0.0,1
1.8,1173.0,159.0,1678.0,39.1,16.0,1.11,19.0,2004.0,3.0,0.0,1
1.8,1102.0,131.0,1534.0,39.2,16.4,1.1439,19.0,2004.0,3.0,0.0,1
1.8,1076.0,123.0,1523.0,40.5,14.9,1.111,19.0,2004.0,3.0,0.0,1
